company_name,review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
Cimb-Group,8-Apr-26,Clear object,Good company and exposure for junior level. Promotion can be very fast to some work function given the person is high performer in the team or department.,4,Manager,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
Cimb-Group,20-Mar-26,Productive workplace,"brilliant training initiatives, cool projects & lots of learning opportunities substandard human element when management deals with employees, poor EQ and low empathy.",4,Fusion programme,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
bank islam,8-Mar-26,Comprehensive benefits with concerns over operational balance and promotion fairness,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",3,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
Cimb-Group,7-Mar-26,Productive and fun workplace,Flexible working hours and supportive colleagues. Overall I think my pay are decent while workload and working culture depends on your department. Benefits wise are quite good in banking industry.,4,Credit Officer,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
RHB Bank Berhad,1-Mar-26,Really good,"A typical day at work and i believe i've learned a lot of skills such as communicating, more time managing and stuff like that and the work place is rwally good",5,,,former,5,5,5,5,5,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
maybank,28-Feb-26,Good workplace,Everything is good. The workplace is nice and people are also willing to help. The workplace and work-culture appreciate people who are working overtime.,5,software developer,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
Public-Bank-Berhad,28-Feb-26,Work Culture,'- Daily job may be repetitive (depends on the team you are on) - Moderate workload (depends on the team you are on) - Classic management style - Healthy working environment Recommended for freshers,5,Analyst Programmer,Bangi,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews
Public-Bank-Berhad,19-Feb-26,Great bonus and increment. But old system,Good for new graduates to start their career in banking as you tend to do a lot of things. The increment is above average and bonuses are decent. This comes with old system and SOPs as they prefer to reduce cost. A lot of paperwork to be done. WLB depends on your department,3,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews
maybank,13-Feb-26,Super Productive workplace,So much to learn here. Colleague is all nice but need to push for sales. All higher ups care is sales. Try banking if you love doing sales. Benefit is good. Have AL every month.,4,Intern,Sitiawan,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
bank islam,11-Feb-26,Good Hybrid working + flexible hours,"Working here you will have a flexible working hours, hybrid working (3 days office, 2 days WFH) depends on the department mostly Digital IT. Good place for learning.",4,IT analyst,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
RHB Bank Berhad,9-Feb-26,"Work culture is good, learning a lots, getting lots of knowledge of product.","Having teatime among us, celebration birthday and also we will do decorations for all the festivals...team work is going well with team members, management is good❤️ Together progress 🙂",5,Written Off collections Personal Loan,Kuala Lumpur,former,5,5,5,5,5,Fo far No,So far No,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
RHB Bank Berhad,6-Feb-26,Stressful if cannot hit sales target,Management will keep pushing for sales even though the product is not great and detrimental to buyers. Micro-management will happen if u dont hit ur target,3,Personal Banker,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
